user_id,xp_points,level,engagement_score,current_streak,longest_streak,days_inactive,badges_count,events_attended,challenges_completed,churn
53,3224,10,74.22,0,3,5,5,1,2,0
54,1124,3,60.27,0,4,10,0,4,3,1
55,1221,4,81.99,1,3,0,4,7,0,0
56,148,1,89.87,5,5,0,2,6,3,0
57,444,1,75.24,24,24,1,9,5,2,0
58,2403,8,9.2,0,2,45,1,1,0,1
59,2504,8,71.05,9,20,0,4,4,1,0
60,2478,8,3.17,0,20,45,0,0,0,1
61,154,1,12.41,0,0,20,2,2,1,1
62,2740,9,57.52,0,1,5,4,6,4,0
63,1103,3,75.82,12,20,1,8,4,1,0
64,1934,6,88.34,17,19,1,3,3,2,0
65,2464,8,70.93,0,17,5,9,6,1,0
66,948,3,77.45,0,14,3,3,5,2,0
67,2467,8,0.0,0,3,60,1,1,0,1
68,2456,8,64.77,6,6,0,5,2,4,0
69,516,1,65.72,0,3,5,3,4,4,0
70,1307,4,76.02,0,0,3,1,5,6,0
71,1428,4,69.4,0,8,10,1,3,0,0
72,1143,3,11.1,0,9,20,0,0,1,1
73,1797,5,49.79,0,9,14,1,1,2,1
74,798,2,62.88,0,11,7,1,1,1,0
75,1720,5,69.51,1,1,1,3,7,6,0
76,1243,4,79.24,1,2,2,7,5,1,0
77,2246,7,18.73,0,12,30,2,1,2,1
78,1361,4,18.84,0,2,30,3,3,2,1
79,179,1,77.0,15,15,1,5,5,3,0
80,2297,7,57.56,0,2,7,4,1,6,0
81,2082,6,75.52,0,30,2,1,4,3,0
82,2298,7,0.0,0,12,30,2,0,0,1
83,1000,3,64.14,0,10,14,7,2,3,1
84,1742,5,47.46,0,7,10,4,5,6,1
85,477,1,56.06,0,0,3,5,3,4,0
86,2656,8,54.26,0,27,3,6,1,4,0
87,803,2,70.16,5,5,0,6,2,3,0
88,2617,8,74.25,26,26,2,5,4,4,0
89,961,3,70.29,0,4,5,6,1,3,0
90,857,2,83.89,0,3,5,5,3,2,0
91,1527,5,64.8,0,8,3,3,5,5,0
92,1635,5,63.36,9,14,1,5,3,6,0
93,2066,6,19.57,0,0,30,0,1,0,1
94,821,2,46.49,0,5,7,7,4,4,0
95,1522,5,44.91,0,4,14,5,3,1,1
96,1545,5,85.3,1,6,0,5,4,1,0
97,1618,5,6.63,0,3,60,1,0,0,1
98,1512,5,37.71,0,5,14,6,2,1,1
99,1038,3,19.09,0,0,14,0,2,1,1
100,704,2,9.69,0,6,60,0,0,1,1
101,1361,4,89.62,0,0,3,8,3,6,0
102,3110,10,78.87,10,31,1,1,2,0,0
103,715,2,59.22,0,14,3,4,3,2,0
104,1241,4,69.99,0,5,3,4,9,3,0
105,1322,4,52.23,0,1,10,8,5,3,0
106,1077,3,50.86,0,2,14,6,5,1,1
107,1332,4,1.49,0,9,60,1,0,0,1
108,1722,5,87.05,0,1,3,0,2,3,0
109,2881,9,6.0,0,15,30,3,1,1,1
110,3271,10,52.04,0,0,10,3,5,0,0
111,2258,7,36.82,0,13,20,2,2,1,1
112,680,2,28.54,0,18,45,1,0,0,1
113,497,1,65.99,0,28,7,2,0,3,1
114,1910,6,62.17,0,10,5,3,5,2,0
115,718,2,71.08,0,7,0,5,3,2,0
116,1697,5,73.37,0,1,3,4,5,4,0
117,2314,7,100.0,15,15,2,3,3,4,0
118,931,3,55.74,0,21,10,3,3,3,0
119,1266,4,0.0,0,6,30,2,0,2,1
120,1158,3,66.48,0,41,10,5,6,5,0
121,1738,5,85.11,1,8,1,3,8,3,0
122,855,2,50.96,0,17,14,7,3,1,1
123,969,3,54.7,1,18,2,8,3,2,0
124,1601,5,74.39,0,5,10,2,7,3,0
125,0,1,18.47,0,19,30,1,1,2,1
126,2091,6,16.15,0,20,45,0,2,1,1
127,771,2,45.92,0,23,14,1,3,2,1
128,2221,7,47.14,0,17,14,1,2,4,1
129,1712,5,86.42,0,6,0,8,6,2,0
130,2683,8,16.11,0,2,60,0,0,0,1
131,1323,4,46.82,0,2,5,3,1,0,1
132,1755,5,93.4,3,3,0,4,3,4,0
133,2165,7,65.69,0,9,5,6,2,0,0
134,0,1,72.81,3,10,0,3,3,3,0
135,1805,6,61.37,0,8,10,2,2,2,1
136,2512,8,68.84,6,6,1,7,7,4,0
137,728,2,73.2,17,44,1,3,2,3,0
138,1463,4,33.53,0,4,14,1,2,0,1
139,56,1,76.45,11,11,0,8,5,5,0
140,0,1,87.48,3,6,0,5,6,0,0
141,1702,5,79.68,26,26,2,4,5,5,0
142,0,1,100.0,0,6,3,9,4,5,0
143,881,2,49.07,0,13,14,3,2,4,1
144,1837,6,24.06,0,0,20,5,1,1,1
145,1524,5,86.09,13,13,0,4,1,2,0
146,2163,7,8.06,0,10,45,0,0,0,1
147,2588,8,41.91,0,7,10,4,2,4,0
148,1479,4,12.31,0,7,20,1,1,2,0
149,813,2,86.26,9,9,2,4,6,5,0
150,1570,5,46.97,0,6,14,2,1,3,1
151,1093,3,71.02,0,12,3,8,3,4,0
152,797,2,0.0,0,3,45,0,0,0,1
153,1317,4,70.06,3,14,0,4,7,2,0
154,1581,5,92.99,2,2,1,2,4,5,0
155,1359,4,91.61,5,5,2,7,2,3,0
156,2764,9,44.85,0,9,10,4,2,1,0
157,213,1,79.35,25,25,1,3,4,2,0
158,1858,6,13.71,0,39,60,0,1,2,1
159,926,3,76.57,4,4,2,10,5,3,0
160,2002,6,0.0,0,1,45,0,0,1,1
161,863,2,83.39,5,10,0,4,7,3,0
162,1511,5,67.96,20,22,1,2,5,4,0
163,2628,8,5.95,0,8,45,0,0,0,1
164,1207,4,76.94,0,5,3,1,8,3,1
165,959,3,77.84,11,11,1,4,0,6,0
166,1128,3,49.62,0,3,14,8,3,2,1
167,1192,3,77.5,10,10,2,10,4,7,0
168,930,3,44.44,0,12,20,0,1,3,1
169,2955,9,62.9,0,8,7,5,3,4,0
170,1555,5,3.6,0,9,45,0,0,0,1
171,951,3,43.48,0,5,14,4,1,4,1
172,1094,3,63.32,2,2,0,3,5,2,0
173,1665,5,75.69,2,33,2,2,3,3,0
174,2155,7,60.38,0,0,14,5,4,3,1
175,1412,4,79.97,4,8,2,5,4,3,0
176,2146,7,45.27,0,3,10,1,2,1,0
177,2045,6,94.87,4,4,0,8,4,4,0
178,1315,4,59.53,0,0,14,4,2,2,1
179,1488,4,55.6,0,2,7,5,1,0,0
180,1956,6,19.68,0,2,45,0,0,0,1
181,419,1,49.28,0,18,7,7,4,3,0
182,3145,10,18.69,0,0,20,2,2,0,1
183,503,1,45.55,0,2,14,1,2,1,1
184,397,1,49.35,0,9,10,5,4,4,0
185,1846,6,64.44,0,6,3,4,1,1,0
186,622,2,63.38,0,19,10,0,6,2,1
187,1352,4,60.52,0,4,5,3,4,1,0
188,637,2,60.61,0,0,5,2,5,2,0
189,912,3,30.82,0,22,20,6,3,0,1
190,1933,6,24.42,0,1,45,1,0,0,1
191,821,2,38.48,0,11,14,2,3,0,1
192,2386,7,15.97,0,2,30,2,2,0,1
193,2178,7,65.17,7,21,1,5,2,1,0
194,1576,5,59.87,0,0,7,8,2,6,0
195,2471,8,71.52,0,14,1,4,3,7,0
196,416,1,39.47,0,28,14,5,6,3,1
197,2390,7,73.28,0,15,7,4,5,0,0
198,1831,6,49.63,0,0,14,4,4,1,1
199,595,1,86.23,7,37,0,7,5,1,0
200,966,3,8.22,0,1,30,1,1,0,1
201,138,1,5.37,0,1,60,1,0,0,1
202,1135,3,74.31,0,8,3,3,2,4,0
203,1423,4,59.74,7,7,1,4,7,5,0
204,2497,8,66.88,0,8,5,6,3,3,0
205,1673,5,34.03,0,4,14,2,2,3,1
206,1592,5,64.05,0,6,3,5,3,4,0
207,750,2,73.32,5,5,0,5,7,0,0
208,2114,7,64.65,0,0,7,2,1,2,0
209,1044,3,78.3,0,0,2,5,3,4,0
210,924,3,69.95,0,33,7,1,6,5,1
211,2200,7,59.73,0,26,14,3,2,3,1
212,623,2,82.98,1,21,0,8,4,3,0
213,2408,8,0.0,0,4,45,0,0,0,1
214,1782,5,4.3,0,1,30,2,1,1,1
215,2510,8,1.54,0,22,45,2,0,0,1
216,1401,4,73.43,0,1,3,4,3,2,0
217,0,1,66.4,22,22,2,1,4,5,0
218,284,1,44.18,0,6,3,6,4,1,0
219,1547,5,81.97,8,8,1,3,4,5,0
220,2887,9,63.93,0,2,3,3,2,3,0
221,1680,5,51.93,0,2,14,6,3,3,1
222,0,1,68.94,0,16,5,2,1,5,0
223,934,3,81.06,0,7,3,4,2,2,0
224,2696,8,72.74,1,1,1,3,0,3,0
225,1201,4,4.93,0,8,60,2,0,0,1
226,1428,4,79.62,7,16,0,6,3,4,0
227,2173,7,76.31,4,4,0,3,4,4,0
228,2858,9,63.85,0,5,3,1,4,3,0
229,1913,6,54.73,0,10,14,4,2,4,1
230,1275,4,0.0,0,27,30,2,1,1,1
231,2675,8,12.95,0,2,30,0,1,2,1
232,1137,3,83.95,16,16,2,8,4,1,0
233,1271,4,58.85,10,10,0,3,2,3,0
234,2797,9,29.51,0,9,60,0,0,0,1
235,645,2,7.2,0,23,45,1,0,0,1
236,1794,5,46.48,0,13,14,1,2,2,1
237,0,1,52.09,0,0,14,1,3,3,1
238,2436,8,73.84,0,1,3,5,3,1,0
239,2355,7,68.41,0,12,5,7,2,2,0
240,2908,9,10.0,0,5,30,1,0,0,1
241,1263,4,7.6,0,0,30,1,2,0,1
242,260,1,57.58,0,6,10,3,3,5,1
243,0,1,53.09,0,5,14,1,1,3,1
244,2043,6,66.13,0,60,5,4,1,2,0
245,757,2,70.11,0,4,3,6,6,3,0
246,3232,10,56.91,0,9,14,5,4,1,1
247,1904,6,24.89,0,17,45,1,0,0,1
248,1848,6,49.68,22,22,2,6,3,2,0
249,1312,4,63.07,0,2,10,2,7,5,0
250,2620,8,68.04,0,0,7,3,2,1,0
251,0,1,59.11,0,1,7,3,2,3,0
252,1170,3,78.82,6,45,1,4,1,2,0
253,1232,4,0.0,0,11,60,0,0,0,1
254,0,1,64.27,0,2,5,1,1,4,0
255,1909,6,96.85,12,13,1,4,6,4,0
256,1847,6,67.25,0,1,7,3,5,2,0
257,1034,3,0.0,0,8,30,3,2,1,1
258,1460,4,28.4,0,9,20,4,4,1,1
259,27,1,74.68,0,0,2,4,3,3,0
260,1679,5,71.54,0,0,7,6,2,4,0
261,943,3,53.32,0,8,7,2,4,2,0
262,721,2,55.07,0,6,14,2,2,1,1
263,876,2,85.82,11,11,2,8,5,2,0
264,1098,3,15.82,0,0,20,2,5,2,1
265,2292,7,74.13,2,10,0,9,4,4,0
266,1386,4,13.39,0,0,30,1,3,1,1
267,1219,4,78.0,0,5,5,4,6,6,0
268,2352,7,94.53,26,26,0,5,1,4,0
269,4094,10,33.08,0,5,30,2,0,1,1
270,1908,6,25.15,0,0,20,3,3,3,1
271,928,3,72.71,0,1,5,1,4,3,1
272,2502,8,5.52,0,7,60,0,0,0,1
273,1721,5,9.78,0,0,30,3,3,1,1
274,2301,7,70.02,13,13,2,0,2,1,0
275,2236,7,64.49,0,1,5,5,3,2,0
276,1888,6,5.32,0,19,45,0,0,1,1
277,1506,5,6.74,0,4,30,5,1,0,1
278,1090,3,68.52,9,9,1,6,2,4,0
279,1822,6,4.51,0,4,60,0,1,0,1
280,1723,5,86.12,1,2,1,3,4,1,0
281,2787,9,83.28,8,9,2,5,4,2,0
282,1071,3,69.86,0,13,3,1,2,3,0
283,2736,9,34.14,0,4,45,0,0,1,1
284,2260,7,74.93,0,14,3,2,4,5,0
285,2420,8,70.31,0,3,3,8,5,3,0
286,792,2,41.62,0,37,5,5,1,0,0
287,1645,5,57.15,0,3,14,6,2,1,1
288,1022,3,31.1,0,2,10,4,3,3,0
289,2393,7,74.36,0,4,3,7,3,2,0
290,1784,5,11.92,0,9,60,1,0,0,1
291,0,1,71.06,0,13,5,4,4,4,1
292,1977,6,65.18,0,5,5,1,4,2,0
293,927,3,73.9,14,14,0,4,1,2,0
294,1451,4,69.48,4,14,2,4,6,4,0
295,1482,4,68.11,20,20,2,7,1,3,0
296,1676,5,52.4,0,14,7,6,4,1,0
297,1425,4,72.54,7,7,2,4,4,0,0
298,1563,5,1.41,0,28,45,1,1,1,1
299,1409,4,74.72,0,29,3,7,4,6,0
300,1029,3,86.68,0,8,3,4,3,1,0
301,795,2,95.49,7,8,1,3,2,5,0
302,284,1,0.0,0,21,30,3,2,1,1
303,980,3,10.84,0,3,30,3,2,0,1
304,1022,3,62.62,0,3,5,5,4,1,0
305,1116,3,83.59,0,21,0,3,1,5,0
306,2041,6,74.33,0,8,3,5,3,1,0
307,136,1,78.24,4,32,1,5,2,3,0
308,2985,9,75.18,2,4,0,6,7,4,0
309,1432,4,82.6,0,1,5,5,2,5,0
310,2805,9,16.22,0,34,30,1,1,1,1
311,0,1,69.04,3,3,2,4,1,2,0
312,443,1,53.76,29,29,2,6,3,2,0
313,1046,3,66.3,1,1,1,4,3,5,0
314,1895,6,78.83,5,16,2,4,1,4,0
315,2245,7,78.47,0,2,5,6,3,5,0
316,0,1,75.47,1,10,2,6,6,3,0
317,1816,6,49.42,0,1,5,4,4,4,1
318,950,3,60.67,1,11,2,6,4,1,0
319,2564,8,23.21,0,17,30,0,4,0,1
320,1416,4,61.15,0,1,5,5,5,2,0
321,75,1,57.7,7,18,0,4,5,3,0
322,797,2,73.5,0,8,3,4,3,0,0
323,2375,7,55.41,0,11,3,1,6,1,0
324,582,1,14.66,0,15,60,0,1,0,1
325,1131,3,17.57,0,2,30,3,1,1,1
326,1131,3,6.27,0,2,45,1,1,0,1
327,2673,8,50.39,0,10,14,4,3,3,1
328,2026,6,76.8,27,27,1,4,1,2,0
329,1109,3,88.24,0,15,1,6,7,5,0
330,667,2,91.95,0,4,3,8,1,5,0
331,2059,6,65.33,13,37,1,3,5,5,0
332,1272,4,72.51,2,2,1,5,4,1,0
333,2482,8,9.88,0,4,45,0,1,0,1
334,1614,5,80.1,3,20,0,9,1,0,0
335,1554,5,57.3,10,10,1,6,0,0,0
336,1486,4,61.44,0,9,7,6,4,4,0
337,0,1,0.0,0,12,60,0,1,0,1
338,1371,4,53.76,0,5,5,7,2,3,0
339,1946,6,18.78,0,14,14,3,3,2,1
340,560,1,47.11,0,21,10,5,2,0,0
341,2261,7,77.77,0,27,3,4,5,6,0
342,1953,6,24.45,0,32,20,3,1,2,0
343,2078,6,78.62,0,10,1,2,3,4,0
344,632,2,13.58,0,6,30,2,1,3,1
345,805,2,78.48,6,10,1,4,4,3,0
346,1708,5,55.23,0,18,14,2,3,5,1
347,2466,8,67.16,0,1,5,5,3,2,0
348,1888,6,55.51,0,13,2,6,4,4,0
349,1745,5,7.52,0,6,30,2,1,0,1
350,1449,4,79.91,23,23,1,8,1,5,0
351,854,2,30.76,0,1,20,0,1,4,1
352,1537,5,17.22,0,0,20,5,0,0,1
353,1604,5,43.58,0,1,14,2,2,2,1
354,3961,10,68.6,0,16,10,3,2,1,0
355,1856,6,67.01,1,29,2,7,2,2,0
356,1044,3,71.26,0,4,3,3,4,3,0
357,1085,3,68.25,0,15,10,5,5,4,0
358,1098,3,69.93,4,4,0,2,4,6,0
359,3264,10,84.49,0,30,3,5,6,3,0
360,1238,4,18.31,0,15,30,0,2,1,1
361,322,1,53.76,0,0,5,6,4,3,0
362,798,2,0.0,0,7,60,0,0,0,1
363,1160,3,70.47,10,10,2,6,1,3,1
364,0,1,82.92,0,2,7,4,4,5,0
365,1685,5,39.01,0,8,20,1,2,2,1
366,2162,7,78.21,0,28,5,7,2,3,1
367,1255,4,82.97,0,3,3,7,1,3,0
368,2734,9,45.85,0,9,14,3,2,1,1
369,911,3,9.73,0,23,60,0,2,0,1
370,1100,3,53.97,0,27,10,4,2,0,0
371,1886,6,65.61,0,30,10,6,3,1,0
372,2099,6,82.99,0,0,5,4,1,2,0
373,1970,6,86.67,0,65,0,8,5,2,1
374,2327,7,5.93,0,11,30,3,0,0,1
375,522,1,71.7,0,14,5,4,3,3,0
376,706,2,66.96,0,12,3,5,2,2,0
377,2293,7,76.79,3,19,2,5,1,3,0
378,1711,5,73.44,0,1,2,6,3,3,0
379,2927,9,77.63,3,3,1,5,5,5,0
380,1478,4,44.56,0,2,20,6,0,2,1
381,1170,3,67.61,3,19,2,8,3,1,0
382,3191,10,78.75,6,13,2,4,3,4,0
383,1015,3,81.6,0,5,3,8,2,4,0
384,3025,10,60.64,11,11,2,2,6,2,0
385,2367,7,79.6,0,5,1,6,2,0,0
386,882,2,57.52,0,3,7,5,3,2,0
387,1280,4,45.49,0,7,5,9,3,2,0
388,0,1,67.05,1,2,0,6,0,2,0
389,1374,4,28.53,0,11,30,3,1,0,1
390,1519,5,1.16,0,1,45,2,0,0,1
391,1215,4,0.0,0,2,45,0,0,0,1
392,2373,7,0.0,0,23,45,0,1,0,1
393,813,2,64.26,6,14,0,4,4,2,0
394,2046,6,71.97,0,2,3,4,7,2,1
395,2050,6,48.87,0,2,10,5,2,4,0
396,1418,4,50.18,0,16,10,4,3,3,0
397,1568,5,39.13,0,17,14,2,1,3,1
398,2447,8,72.86,0,5,7,6,4,1,0
399,2062,6,72.83,0,29,5,2,6,1,0
400,1608,5,82.29,0,2,2,4,4,1,0
401,814,2,68.88,13,13,2,4,7,3,0
402,2479,8,53.02,0,2,10,5,3,1,0
403,2116,7,10.49,0,11,30,2,1,3,1
404,1497,4,72.17,7,14,1,3,3,4,0
405,2448,8,82.9,0,2,5,2,4,1,0
406,1590,5,84.59,1,11,0,2,6,3,0
407,1575,5,0.0,0,3,45,1,0,0,1
408,1243,4,0.0,0,20,60,1,0,0,1
409,1781,5,40.3,0,6,14,5,2,4,1
410,1013,3,70.68,0,6,10,3,3,4,0
411,1505,5,15.21,0,1,20,4,4,2,1
412,1787,5,57.51,0,3,7,5,3,3,0
413,2868,9,82.74,7,7,1,6,5,1,0
414,2278,7,70.49,0,23,5,6,2,4,0
415,1152,3,79.72,0,3,7,3,2,2,0
416,1455,4,51.17,0,2,10,4,1,1,0
417,1592,5,61.94,0,5,7,3,3,3,0
418,1085,3,18.53,0,4,45,1,1,0,1
419,1585,5,6.81,0,6,60,0,1,0,1
420,2058,6,71.64,1,11,0,6,1,4,0
421,1236,4,45.51,0,4,7,4,6,5,0
422,2382,7,76.92,0,5,7,2,2,1,0
423,2967,9,15.98,0,5,60,0,0,1,1
424,88,1,82.91,13,13,0,3,1,4,0
425,305,1,56.26,7,7,1,5,2,3,0
426,509,1,84.61,8,8,2,3,3,2,0
427,1890,6,90.18,0,24,3,4,6,2,0
428,2380,7,68.69,0,5,3,4,5,3,0
429,872,2,90.23,0,1,3,5,3,4,0
430,1407,4,68.58,0,4,7,5,3,2,0
431,828,2,75.72,0,5,7,5,1,5,0
432,2062,6,74.72,7,17,0,7,5,4,1
433,568,1,73.9,0,1,3,1,6,0,0
434,2772,9,39.31,0,59,14,2,5,0,1
435,1745,5,32.63,0,2,14,4,2,2,1
436,2379,7,70.61,0,0,3,6,7,2,0
437,192,1,68.25,0,13,3,4,2,1,0
438,1276,4,65.53,0,8,14,1,4,4,1
439,3613,10,68.48,0,18,7,3,4,3,0
440,1961,6,0.0,0,57,45,2,1,0,1
441,1144,3,53.57,0,5,10,1,3,1,0
442,1711,5,9.6,0,23,60,0,1,0,1
443,1557,5,87.38,4,4,0,2,4,2,0
444,561,1,78.55,4,4,2,5,3,4,0
445,346,1,63.27,0,4,10,3,3,0,0
446,0,1,21.6,0,4,45,0,1,1,1
447,317,1,82.58,6,6,0,3,3,0,0
448,1752,5,69.34,0,2,2,2,1,1,0
449,1614,5,83.72,22,22,2,7,2,3,0
450,2271,7,41.95,0,3,14,2,5,0,1
451,1467,4,11.08,0,2,20,2,1,0,0
452,1058,3,44.03,0,10,10,1,1,5,1
453,2287,7,81.26,4,21,0,4,4,4,0
454,1134,3,87.84,2,2,2,4,0,2,0
455,817,2,60.62,0,7,10,3,6,1,0
456,0,1,68.48,0,22,3,4,5,1,0
457,1277,4,47.64,0,3,14,2,2,0,0
458,668,2,71.71,0,3,5,7,3,6,0
459,1322,4,65.59,2,14,0,4,6,4,0
460,2265,7,53.94,0,15,10,5,4,2,0
461,1611,5,74.55,15,15,2,3,3,2,0
462,1154,3,57.73,0,6,14,3,3,1,1
463,113,1,86.51,0,11,5,7,2,1,0
464,3178,10,0.0,0,5,60,1,1,0,1
465,486,1,14.39,0,1,30,4,3,1,1
466,1764,5,66.86,7,7,2,1,4,4,0
467,978,3,58.86,0,28,7,4,3,2,0
468,366,1,60.82,9,16,1,5,1,3,0
469,720,2,67.18,8,54,2,2,0,1,0
470,1527,5,84.86,2,10,1,5,4,3,0
471,820,2,72.67,0,1,1,2,4,3,0
472,0,1,80.04,0,12,3,3,3,4,0
473,2481,8,67.9,4,16,0,6,7,2,1
474,2544,8,39.2,0,4,10,3,5,0,1
475,2216,7,0.0,0,0,30,2,0,2,1
476,1797,5,40.78,0,2,20,1,4,0,1
477,1724,5,45.75,0,5,3,2,6,2,0
478,1413,4,21.12,0,1,30,4,3,2,1
479,2083,6,15.93,0,17,60,0,0,0,0
480,394,1,12.21,0,16,30,1,1,0,1
481,2775,9,76.04,4,7,2,4,5,2,0
482,1141,3,51.52,0,19,14,4,1,5,1
483,1608,5,74.55,0,0,5,3,3,3,0
484,1027,3,66.9,0,2,7,3,2,2,0
485,1182,3,79.59,15,15,0,5,4,3,0
486,1873,6,76.29,8,8,1,7,2,2,0
487,1692,5,38.34,0,1,14,2,5,1,1
488,499,1,79.61,5,10,1,5,1,3,0
489,596,1,36.76,0,8,14,6,2,5,1
490,835,2,58.48,0,5,7,9,2,2,0
491,1617,5,38.2,0,3,14,7,4,1,1
492,1110,3,69.75,9,9,0,4,7,5,0
493,2074,6,71.76,0,0,5,4,5,3,0
494,1508,5,0.0,0,19,60,1,0,0,1
495,620,2,51.87,0,3,14,1,4,3,1
496,808,2,66.23,0,5,5,4,4,2,1
497,3093,10,85.84,0,12,5,5,2,1,0
498,1112,3,82.12,0,7,1,4,2,2,0
499,865,2,34.61,0,3,60,0,2,0,1
500,889,2,30.06,0,4,20,4,6,1,1
501,420,1,40.45,0,0,14,2,3,2,1
502,219,1,35.92,0,9,10,2,1,1,1
503,923,3,63.74,1,3,2,2,6,2,0
504,950,3,79.13,0,1,5,5,3,1,0
505,673,2,64.75,0,5,5,4,6,1,0
506,2539,8,82.1,0,4,3,4,2,3,0
507,2778,9,66.03,0,13,3,4,3,2,0
508,1037,3,54.23,0,8,10,2,3,0,0
509,1739,5,65.13,0,25,7,1,6,1,0
510,496,1,74.45,3,3,0,3,5,4,0
511,2071,6,60.16,0,9,7,11,2,4,0
512,574,1,80.73,7,26,1,4,5,3,0
513,1868,6,0.0,0,10,30,2,1,0,1
514,1140,3,61.74,0,3,10,2,5,1,0
515,0,1,73.62,0,7,5,7,6,2,0
516,1542,5,18.65,0,3,60,1,0,0,1
517,170,1,73.7,0,10,5,2,1,2,0
518,0,1,8.51,0,12,30,2,0,2,1
519,2902,9,6.35,0,3,30,0,2,0,1
520,1432,4,71.16,4,7,2,5,5,4,0
521,1747,5,79.76,5,39,2,7,4,1,0
522,906,3,53.84,0,1,10,5,5,1,0
523,1534,5,81.87,10,10,2,9,8,4,0
524,397,1,84.5,0,1,5,5,4,1,0
525,2811,9,20.79,0,4,45,0,1,0,1
526,1294,4,12.78,0,3,30,1,2,0,1
527,1405,4,75.15,12,27,2,5,1,3,0
528,1695,5,5.83,0,15,30,5,2,1,1
529,1240,4,9.33,0,1,45,0,0,1,1
530,125,1,57.36,0,11,10,7,4,1,1
531,2360,7,55.47,0,14,14,4,1,2,1
532,1134,3,78.39,1,10,2,5,2,2,0
533,498,1,35.22,0,18,14,1,1,2,1
534,1208,4,67.15,0,2,10,5,5,4,0
535,842,2,64.62,3,16,1,5,6,3,0
536,2882,9,25.31,0,4,20,4,5,5,1
537,1925,6,82.07,0,20,1,6,7,0,0
538,2287,7,72.63,9,12,2,1,6,4,0
539,782,2,49.69,0,7,0,2,3,2,0
540,1139,3,47.94,0,18,14,2,4,4,1
541,1133,3,14.75,0,12,30,2,2,0,1
542,1126,3,56.74,2,4,0,4,3,4,0
543,2592,8,79.43,10,10,0,10,4,5,0
544,1017,3,72.52,0,9,3,5,6,1,0
545,858,2,78.11,6,44,1,6,4,2,0
546,2312,7,75.97,21,21,0,4,3,2,1
547,2612,8,80.66,0,0,5,6,5,3,0
548,2500,8,63.16,0,5,3,2,2,3,0
549,631,2,30.3,0,14,20,3,2,1,1
550,2015,6,85.62,8,9,0,6,7,3,0
551,1888,6,71.51,3,6,0,3,1,1,0
552,1243,4,62.96,0,2,3,6,3,4,0
553,2069,6,70.31,2,3,0,5,4,1,0
554,87,1,58.43,0,4,7,6,4,4,1
555,2099,6,59.85,4,33,0,4,3,5,0
556,1338,4,94.03,1,19,1,4,2,0,0
557,974,3,84.95,9,35,2,3,4,4,0
558,1961,6,0.0,0,5,45,2,1,0,1
559,1632,5,67.63,0,2,5,7,1,1,0
560,3668,10,85.2,2,4,0,6,7,6,0
561,2144,7,66.34,0,22,10,5,3,2,0
