project_category,project_budget_usd,project_deadline_days,fl_experience_level,fl_hourly_rate,fl_n_projects,fl_completion_rate,fl_on_time_rate,fl_avg_rating,fl_dispute_rate,fl_repeat_client_rate,fl_available_in_days,fl_hours_per_week,fl_avg_response_hours,fl_portfolio_score,budget_match_score,deadline_feasible,category_match,exp_level_num,success,project_category_enc
marketing,5000,14,mid,37.88,28,0.842,0.879,3.45,0.19,0.793,0,20,1.3,2.9,0.303,1,1,2,1,3
writing,1000,30,expert,112.93,155,0.949,0.695,4.42,0.085,0.737,7,20,12.2,8.5,-1.0,1,1,4,1,4
marketing,2000,30,senior,56.15,5,0.953,0.736,4.95,0.108,0.675,14,30,4.7,7.9,0.877,1,1,3,1,3
marketing,500,30,senior,65.17,2,0.861,0.909,4.45,0.101,0.829,1,40,6.7,5.9,-1.0,1,1,3,0,3
data,2000,30,senior,73.05,2,0.832,0.838,4.47,0.146,0.788,3,30,9.3,5.6,0.539,1,1,3,1,0
design,500,60,junior,21.05,12,0.505,0.561,4.19,0.166,0.616,0,30,4.0,1.9,0.316,1,0,1,1,1
data,10000,14,expert,96.25,104,1.0,0.937,4.92,0.045,0.867,30,10,6.9,7.4,0.385,0,1,4,1,0
data,20000,7,mid,30.73,132,0.687,0.673,3.74,0.191,0.642,3,30,1.3,2.5,0.061,1,0,2,1,0
marketing,10000,14,mid,18.11,52,0.739,0.817,3.94,0.16,0.7,1,20,4.8,4.5,0.072,1,1,2,1,3
design,20000,90,mid,37.17,91,0.667,0.79,3.07,0.149,0.618,1,40,0.6,2.7,0.074,1,1,2,0,1
writing,20000,60,senior,53.42,69,0.716,0.728,4.44,0.147,0.843,14,20,1.2,6.3,0.107,1,1,3,1,4
marketing,5000,60,expert,132.56,11,0.935,1.0,4.68,0.085,0.786,1,20,4.2,7.7,0.94,1,1,4,1,3
data,1000,7,senior,73.05,2,0.832,0.838,4.47,0.146,0.788,3,30,9.3,5.6,-0.922,1,1,3,1,0
design,1000,7,mid,34.81,17,0.728,0.814,3.47,0.127,0.759,0,40,0.1,4.2,0.608,1,1,2,1,1
data,1000,90,mid,38.73,11,0.762,0.821,3.58,0.195,0.653,0,20,0.2,4.1,0.451,1,1,2,1,0
writing,500,60,mid,49.96,1,0.751,0.811,4.35,0.158,0.646,0,30,20.9,4.0,-1.0,1,1,2,1,4
writing,1000,90,junior,17.11,31,0.643,0.651,2.78,0.201,0.436,3,40,1.3,2.2,0.684,1,1,1,0,4
data,5000,60,junior,16.67,2,0.575,0.667,3.15,0.142,0.729,3,30,7.5,1.6,0.133,1,1,1,1,0
design,5000,7,mid,21.7,116,0.775,0.774,4.26,0.079,0.579,3,30,0.4,5.4,0.174,1,1,2,1,1
dev,500,30,senior,35.36,63,0.834,0.876,4.65,0.145,0.625,1,20,2.5,4.9,-0.829,1,1,3,1,2
design,1000,7,senior,100.3,93,0.912,0.768,4.08,0.038,0.795,14,20,9.6,7.4,-1.0,0,1,3,1,1
dev,5000,30,junior,11.02,30,0.562,0.479,3.36,0.189,0.7,3,10,8.7,2.0,0.088,1,1,1,0,2
dev,500,30,junior,11.83,14,0.708,0.821,2.71,0.19,0.547,1,30,4.9,1.0,0.946,1,1,1,1,2
design,2000,7,mid,28.05,10,0.899,0.708,4.02,0.182,0.726,1,30,9.8,4.5,0.561,1,1,2,0,1
design,500,7,expert,109.73,60,0.786,0.762,4.52,0.125,0.826,0,30,7.1,8.3,-1.0,1,1,4,0,1
marketing,20000,60,senior,91.75,135,0.894,0.76,4.27,0.088,0.634,7,40,0.0,3.3,0.184,1,1,3,0,3
marketing,10000,30,senior,62.39,85,0.881,0.685,3.96,0.086,0.698,14,40,2.8,7.7,0.25,1,1,3,1,3
marketing,2000,90,mid,37.64,56,0.873,0.692,3.53,0.121,0.416,3,20,1.6,4.9,0.753,1,1,2,1,3
design,2000,60,junior,12.19,5,0.744,0.732,2.72,0.249,0.582,1,20,0.6,1.9,0.244,1,1,1,1,1
design,5000,14,mid,46.19,11,0.759,0.735,3.98,0.167,0.61,0,40,0.1,2.8,0.37,1,1,2,0,1
data,10000,60,mid,24.62,64,0.692,0.539,4.06,0.195,0.757,0,20,0.8,4.6,0.098,1,1,2,1,0
writing,10000,30,expert,78.05,200,1.0,0.913,4.72,0.0,0.849,0,30,0.8,8.3,0.312,1,1,4,1,4
marketing,500,14,junior,18.77,18,0.573,0.642,3.05,0.174,0.518,30,30,3.2,2.5,0.498,0,1,1,0,3
design,5000,60,senior,43.41,56,0.91,0.813,4.46,0.116,0.832,1,30,4.8,7.3,0.347,1,1,3,0,1
writing,5000,7,junior,19.68,2,0.605,0.488,3.58,0.266,0.512,0,20,3.2,1.3,0.157,1,0,1,0,4
design,1000,7,junior,17.68,31,0.657,0.785,3.65,0.196,0.623,1,40,11.9,1.6,0.707,1,1,1,1,1
writing,1000,60,expert,99.78,57,0.979,1.0,4.53,0.047,0.763,0,30,29.3,9.2,-1.0,1,1,4,1,4
design,5000,60,senior,71.1,3,0.812,0.835,4.55,0.133,0.781,7,10,1.5,5.5,0.569,1,1,3,0,1
marketing,1000,90,expert,69.76,55,1.0,0.767,4.27,0.06,0.748,14,40,2.6,8.9,-0.79,1,1,4,1,3
data,1000,60,junior,8.0,18,0.72,0.461,3.01,0.192,0.488,0,10,26.2,3.4,0.32,1,1,1,0,0
writing,2000,14,mid,49.96,1,0.751,0.811,4.35,0.158,0.646,0,30,20.9,4.0,0.999,1,1,2,1,4
dev,1000,90,mid,41.62,25,0.703,0.848,3.68,0.093,0.579,0,40,1.8,4.4,0.335,1,1,2,1,2
marketing,2000,60,junior,15.64,34,0.597,0.588,3.71,0.179,0.397,14,20,14.7,2.6,0.313,1,1,1,1,3
design,500,14,senior,71.1,3,0.812,0.835,4.55,0.133,0.781,7,10,1.5,5.5,-1.0,0,1,3,1,1
marketing,20000,30,senior,29.47,116,0.814,0.813,3.8,0.09,0.877,0,40,3.3,5.3,0.059,1,0,3,0,3
design,10000,30,mid,17.48,99,0.865,0.623,3.79,0.12,0.784,3,30,13.8,4.6,0.07,1,1,2,0,1
dev,5000,30,junior,15.83,44,0.644,0.721,3.21,0.16,0.207,3,20,2.7,0.2,0.127,1,1,1,1,2
dev,500,30,senior,47.26,13,0.965,0.774,4.82,0.123,0.953,1,20,6.0,5.5,-1.0,1,1,3,0,2
writing,1000,14,mid,18.82,41,0.83,0.746,4.29,0.088,0.66,0,20,10.7,4.8,0.753,1,1,2,1,4
marketing,10000,30,expert,91.34,35,1.0,0.785,4.58,0.058,0.803,30,20,18.4,8.6,0.365,0,1,4,1,3
writing,1000,7,senior,111.41,38,0.893,0.987,4.35,0.143,0.918,1,30,8.2,6.5,-1.0,1,1,3,1,4
design,1000,60,expert,73.4,8,0.99,0.988,4.55,0.068,0.865,3,10,0.7,8.1,-0.936,1,1,4,1,1
data,2000,60,expert,44.21,62,0.977,0.836,4.09,0.058,0.681,7,20,7.8,9.3,0.884,1,1,4,1,0
marketing,2000,7,senior,57.06,6,0.959,0.992,4.17,0.095,0.758,0,30,0.4,5.0,0.859,1,1,3,1,3
marketing,2000,60,expert,96.65,60,0.868,0.839,4.46,0.012,0.889,0,40,2.7,6.6,0.067,1,1,4,1,3
writing,2000,7,mid,38.07,17,0.84,0.587,4.26,0.195,0.569,0,20,7.5,1.5,0.761,1,1,2,0,4
dev,1000,90,mid,28.79,17,0.904,0.568,3.24,0.211,0.886,1,10,4.1,3.9,0.848,1,1,2,0,2
writing,5000,14,senior,62.48,8,0.896,0.884,4.06,0.133,0.733,0,20,5.1,6.7,0.5,1,1,3,1,4
data,2000,30,mid,18.68,34,0.768,0.695,3.3,0.15,0.875,0,30,10.6,3.9,0.374,1,1,2,1,0
dev,2000,60,mid,54.51,18,0.873,0.876,3.97,0.158,0.806,0,10,0.3,5.1,0.91,1,1,2,1,2
dev,500,7,expert,90.27,1,0.972,0.88,4.95,0.108,0.871,3,40,17.3,8.3,-1.0,1,1,4,1,2
marketing,500,60,senior,71.45,38,0.852,0.973,4.08,0.065,0.779,0,40,3.3,5.2,-1.0,1,1,3,1,3
writing,1000,30,junior,10.76,87,0.71,0.781,3.47,0.19,0.499,0,20,2.0,1.5,0.43,1,1,1,1,4
data,1000,30,senior,85.63,8,0.896,0.806,4.37,0.124,0.579,14,30,2.0,6.0,-1.0,1,1,3,1,0
design,5000,30,mid,39.86,20,0.873,0.721,4.24,0.139,0.69,7,10,3.4,3.9,0.319,1,0,2,1,1
data,10000,60,mid,18.68,34,0.768,0.695,3.3,0.15,0.875,0,30,10.6,3.9,0.075,1,1,2,0,0
design,500,90,junior,13.81,12,0.726,0.607,3.71,0.203,0.542,0,40,0.3,1.5,0.895,1,0,1,1,1
data,5000,30,senior,41.21,32,0.794,0.96,4.7,0.138,0.736,0,30,8.6,5.9,0.33,1,1,3,1,0
writing,10000,30,expert,33.72,110,0.946,0.911,5.0,0.082,0.849,3,10,3.9,8.9,0.135,1,1,4,1,4
writing,5000,60,mid,22.46,32,0.791,0.887,4.0,0.143,0.803,1,20,1.3,3.8,0.18,1,1,2,0,4
writing,1000,30,junior,8.0,5,0.653,0.597,2.29,0.176,0.595,14,30,2.1,2.0,0.32,1,1,1,1,4
marketing,1000,14,junior,13.81,12,0.726,0.607,3.71,0.203,0.542,0,40,0.3,1.5,0.552,1,1,1,0,3
data,2000,14,junior,8.0,18,0.72,0.461,3.01,0.192,0.488,0,10,26.2,3.4,0.16,1,1,1,1,0
design,5000,60,junior,8.0,24,0.562,0.664,3.14,0.231,0.471,0,10,5.3,1.5,0.064,1,1,1,1,1
writing,10000,90,mid,26.42,105,0.737,0.739,3.26,0.168,0.767,0,10,21.9,3.3,0.106,1,1,2,1,4
data,2000,7,mid,39.86,20,0.873,0.721,4.24,0.139,0.69,7,10,3.4,3.9,0.797,0,1,2,1,0
marketing,500,14,mid,33.23,43,0.828,0.674,3.75,0.145,0.645,0,10,8.6,4.0,-0.658,1,0,2,1,3
design,1000,7,senior,98.51,2,0.681,0.763,4.49,0.048,0.725,3,10,7.1,5.5,-1.0,1,1,3,1,1
data,500,30,senior,80.08,21,0.951,0.876,3.97,0.06,0.778,3,40,8.3,6.3,-1.0,1,1,3,1,0
writing,500,30,junior,20.38,2,0.705,0.414,3.35,0.21,0.473,0,20,5.8,2.1,0.37,1,1,1,1,4
writing,1000,90,expert,73.4,8,0.99,0.988,4.55,0.068,0.865,3,10,0.7,8.1,-0.936,1,0,4,1,4
writing,10000,30,senior,52.2,36,1.0,0.855,3.75,0.09,0.703,0,30,1.0,6.7,0.209,1,1,3,1,4
dev,1000,30,junior,8.0,1,0.606,0.698,3.29,0.166,0.631,3,40,7.7,1.6,0.32,1,1,1,0,2
design,1000,60,senior,79.55,17,0.851,1.0,4.68,0.111,0.94,0,10,2.3,5.2,-1.0,1,1,3,1,1
writing,1000,60,senior,87.16,72,0.897,1.0,5.0,0.058,0.611,1,40,1.1,6.8,-1.0,1,1,3,1,4
design,20000,14,senior,51.22,66,0.877,0.845,4.41,0.106,0.621,3,30,4.9,5.3,0.102,1,0,3,1,1
design,1000,7,junior,27.78,10,0.781,0.704,2.79,0.218,0.491,7,20,2.0,1.9,0.889,0,0,1,1,1
writing,5000,30,senior,76.82,27,0.853,0.874,4.08,0.115,0.714,30,30,0.1,7.6,0.615,0,1,3,1,4
data,500,14,junior,10.08,91,0.646,0.553,2.84,0.2,0.504,7,30,6.1,1.0,0.806,0,1,1,0,0
writing,2000,30,mid,36.77,27,0.613,0.902,3.79,0.159,0.675,0,10,7.7,3.6,0.735,1,1,2,1,4
writing,500,60,mid,38.29,4,0.779,0.796,4.85,0.152,0.557,0,20,9.8,2.3,-1.0,1,1,2,1,4
design,2000,90,junior,13.46,12,0.509,0.67,3.57,0.236,0.535,0,20,10.6,2.2,0.269,1,1,1,0,1
data,10000,30,junior,13.64,0,0.0,0.0,0.0,0.0,0.0,0,40,1.7,3.0,0.055,1,1,1,1,0
writing,5000,90,junior,20.47,0,0.0,0.0,0.0,0.0,0.0,1,30,6.8,0.0,0.164,1,1,1,0,4
data,1000,7,expert,128.12,17,1.0,1.0,4.78,0.054,0.733,3,10,8.3,10.0,-1.0,1,1,4,1,0
data,20000,60,junior,24.73,17,0.746,0.448,3.03,0.211,0.707,3,20,1.9,1.9,0.049,1,1,1,1,0
writing,5000,14,senior,57.83,52,0.836,0.848,4.83,0.123,0.669,7,20,2.8,5.7,0.463,0,1,3,0,4
dev,500,30,expert,90.27,1,0.972,0.88,4.95,0.108,0.871,3,40,17.3,8.3,-1.0,1,1,4,1,2
writing,500,14,mid,8.88,5,0.707,0.763,4.59,0.171,0.784,14,20,7.9,4.8,0.71,0,1,2,1,4
writing,10000,14,mid,37.39,15,0.702,0.848,4.09,0.104,0.764,0,20,1.1,4.5,0.15,1,1,2,1,4
data,2000,30,junior,16.76,1,0.537,0.492,3.17,0.175,0.489,14,30,12.2,0.5,0.335,1,1,1,0,0
marketing,1000,14,mid,29.48,67,0.794,0.747,4.1,0.223,0.626,3,20,2.5,3.7,0.821,1,0,2,1,3
design,1000,30,expert,108.7,71,0.915,1.0,4.27,0.0,0.795,7,20,2.4,6.4,-1.0,1,1,4,1,1
marketing,5000,90,mid,32.06,78,0.768,0.729,3.59,0.116,0.752,30,20,1.8,3.7,0.256,1,1,2,0,3
dev,1000,30,mid,37.62,27,0.66,0.772,3.87,0.194,0.607,0,40,2.2,3.7,0.495,1,1,2,0,2
writing,5000,14,mid,44.66,35,0.865,0.712,4.11,0.172,0.558,0,20,1.5,3.8,0.357,1,1,2,1,4
writing,10000,14,mid,37.39,15,0.702,0.848,4.09,0.104,0.764,0,20,1.1,4.5,0.15,1,1,2,1,4
data,2000,30,mid,18.68,34,0.768,0.695,3.3,0.15,0.875,0,30,10.6,3.9,0.374,1,1,2,1,0
writing,2000,30,mid,45.99,57,0.826,0.7,4.45,0.145,0.693,3,10,2.4,2.7,0.92,1,1,2,1,4
writing,500,14,mid,35.92,23,0.639,0.935,3.96,0.108,0.616,0,20,8.1,4.8,-0.874,1,1,2,1,4
dev,10000,90,senior,45.73,5,0.93,0.836,4.44,0.085,0.737,7,20,1.7,5.2,0.183,1,1,3,0,2
marketing,5000,14,senior,86.85,34,0.906,0.828,5.0,0.059,0.669,0,30,0.1,7.7,0.695,1,1,3,1,3
design,500,30,senior,68.7,84,0.772,0.766,4.14,0.077,0.693,14,30,0.3,5.3,-1.0,1,0,3,1,1
dev,1000,60,senior,35.36,63,0.834,0.876,4.65,0.145,0.625,1,20,2.5,4.9,0.586,1,1,3,1,2
dev,1000,7,expert,76.54,45,0.881,0.96,4.65,0.045,0.855,0,20,0.5,7.6,-1.0,1,1,4,1,2
data,20000,90,senior,73.05,2,0.832,0.838,4.47,0.146,0.788,3,30,9.3,5.6,0.146,1,1,3,1,0
writing,500,60,mid,45.99,57,0.826,0.7,4.45,0.145,0.693,3,10,2.4,2.7,-1.0,1,1,2,1,4
dev,2000,60,expert,82.97,1,1.0,0.732,5.0,0.084,0.733,14,10,1.6,9.0,0.341,1,1,4,1,2
marketing,1000,60,senior,68.52,22,0.993,0.874,4.14,0.15,0.889,0,40,0.4,4.8,-0.741,1,1,3,1,3
design,1000,90,mid,47.84,5,0.759,0.753,4.59,0.148,0.495,0,30,3.4,4.9,0.086,1,0,2,1,1
dev,20000,7,mid,23.37,18,0.762,0.717,3.94,0.141,0.743,1,20,4.4,3.6,0.047,1,1,2,1,2
marketing,10000,60,junior,19.44,65,0.602,0.666,3.65,0.174,0.554,30,30,6.1,2.8,0.078,0,1,1,1,3
dev,10000,30,senior,77.72,103,0.776,0.852,4.6,0.099,0.853,0,20,6.2,6.6,0.311,1,1,3,1,2
design,500,14,senior,53.0,200,0.786,0.907,4.68,0.147,0.828,1,40,7.7,5.6,-1.0,1,0,3,1,1
data,500,14,mid,38.72,25,0.808,0.643,3.82,0.13,0.494,0,10,17.0,4.8,-1.0,1,0,2,0,0
design,5000,30,mid,34.13,36,0.832,0.805,3.88,0.15,0.599,3,30,5.2,3.9,0.273,1,1,2,1,1
data,500,30,junior,8.26,31,0.752,0.666,2.74,0.223,0.453,14,10,12.1,1.0,0.661,1,1,1,0,0
data,5000,90,mid,30.44,14,0.913,0.653,3.87,0.131,0.754,7,10,18.6,4.2,0.244,1,1,2,1,0
design,2000,60,junior,8.0,2,0.617,0.677,3.04,0.192,0.537,0,20,16.1,1.4,0.16,1,1,1,0,1
marketing,2000,14,junior,13.81,12,0.726,0.607,3.71,0.203,0.542,0,40,0.3,1.5,0.276,1,1,1,1,3
design,2000,30,mid,21.86,13,0.858,0.727,3.77,0.19,0.896,0,10,10.8,4.7,0.437,1,1,2,1,1
marketing,5000,60,junior,16.84,11,0.723,0.573,3.35,0.219,0.371,0,20,9.9,2.6,0.135,1,1,1,0,3
marketing,20000,30,junior,19.23,10,0.619,0.566,2.71,0.222,0.53,7,30,26.7,1.3,0.038,1,1,1,0,3
data,2000,30,expert,93.67,29,0.959,0.93,4.77,0.035,0.779,3,30,0.7,6.8,0.127,1,1,4,0,0
writing,1000,14,mid,31.7,7,0.81,0.736,3.72,0.195,0.479,0,20,1.8,4.3,0.732,1,1,2,1,4
design,500,30,senior,69.99,55,0.959,0.73,4.6,0.095,0.861,1,30,0.3,6.5,-1.0,1,1,3,1,1
marketing,500,14,senior,68.52,22,0.993,0.874,4.14,0.15,0.889,0,40,0.4,4.8,-1.0,1,1,3,1,3
marketing,20000,30,junior,19.47,8,0.733,0.529,3.75,0.205,0.818,3,30,10.0,1.3,0.039,1,1,1,0,3
design,1000,90,mid,31.7,7,0.81,0.736,3.72,0.195,0.479,0,20,1.8,4.3,0.732,1,0,2,1,1
marketing,1000,14,mid,20.08,10,0.893,0.75,4.0,0.129,0.617,7,20,2.2,3.5,0.803,0,0,2,0,3
data,500,30,mid,20.65,1,0.681,0.846,4.17,0.141,0.633,3,10,0.6,4.6,0.348,1,1,2,1,0
data,500,7,mid,47.84,5,0.759,0.753,4.59,0.148,0.495,0,30,3.4,4.9,-1.0,1,1,2,0,0
data,1000,14,junior,11.75,3,0.639,0.499,2.73,0.215,0.61,1,10,5.9,3.3,0.47,1,0,1,0,0
marketing,10000,14,mid,18.11,52,0.739,0.817,3.94,0.16,0.7,1,20,4.8,4.5,0.072,1,1,2,0,3
design,500,90,senior,93.43,63,0.952,0.759,4.37,0.158,0.755,3,30,3.8,5.0,-1.0,1,0,3,1,1
writing,1000,7,mid,36.77,27,0.613,0.902,3.79,0.159,0.675,0,10,7.7,3.6,0.529,1,1,2,1,4
data,500,90,senior,70.76,10,0.879,0.935,4.59,0.147,0.877,0,20,7.5,6.7,-1.0,1,0,3,1,0
dev,1000,7,mid,26.91,76,0.682,0.8,5.0,0.147,0.719,3,10,6.9,4.1,0.924,1,1,2,1,2
dev,10000,90,senior,57.97,71,0.75,0.847,4.1,0.151,0.862,1,20,2.4,5.7,0.232,1,1,3,1,2
writing,1000,60,junior,18.73,0,0.0,0.0,0.0,0.0,0.0,30,10,9.5,1.4,0.749,0,1,1,1,4
data,1000,30,senior,35.11,25,0.902,0.931,4.53,0.11,0.939,1,20,12.7,7.3,0.596,1,0,3,1,0
writing,10000,14,junior,19.17,9,0.659,0.557,3.74,0.161,0.705,1,20,4.1,1.0,0.077,1,1,1,0,4
design,10000,90,senior,52.17,70,0.948,0.84,4.38,0.057,0.891,0,10,7.1,6.5,0.209,1,1,3,0,1
dev,500,14,junior,17.21,52,0.621,0.541,3.21,0.203,0.498,1,10,5.3,1.9,0.623,1,0,1,1,2
data,2000,14,mid,20.65,1,0.681,0.846,4.17,0.141,0.633,3,10,0.6,4.6,0.413,1,1,2,0,0
dev,500,60,mid,44.55,14,0.925,0.792,4.03,0.177,0.618,1,10,1.7,4.5,-1.0,1,0,2,1,2
writing,20000,30,senior,86.85,34,0.906,0.828,5.0,0.059,0.669,0,30,0.1,7.7,0.174,1,0,3,1,4
data,5000,60,expert,122.24,152,0.998,1.0,4.88,0.045,0.816,1,40,1.2,6.1,0.978,1,1,4,1,0
