completeness_score,skill_count,endorsement_count,portfolio_count,certification_count,work_experience_months,review_count,avg_rating,kyc_verified,two_factor_enabled,trust_level
88,12,36,20,10,55,39,4.6,1,1,HIGH
83,12,17,10,10,30,45,4.4,1,1,HIGH
72,7,8,5,1,18,6,4.0,0,1,MEDIUM
28,2,0,1,1,2,0,1.9,0,0,LOW
22,3,3,2,1,6,0,2.2,0,0,LOW
56,5,2,2,2,30,8,4.2,1,0,MEDIUM
93,15,29,12,9,81,38,4.4,1,1,HIGH
87,10,15,8,9,28,40,4.4,1,1,HIGH
29,2,3,2,0,0,2,2.2,0,0,LOW
81,15,33,6,8,31,13,4.7,1,1,HIGH
15,0,2,1,0,0,0,1.8,0,0,LOW
38,2,2,2,0,7,0,1.7,0,0,LOW
27,1,1,2,1,2,2,1.2,0,0,LOW
40,3,3,2,1,1,1,1.6,0,0,LOW
60,6,3,3,4,13,4,3.1,1,1,MEDIUM
73,5,3,5,2,7,6,3.5,0,0,MEDIUM
15,0,3,2,1,2,0,2.4,0,0,LOW
59,3,4,1,2,22,9,3.5,1,1,MEDIUM
26,3,0,0,1,5,0,2.6,0,0,LOW
89,9,22,12,7,108,47,4.5,1,1,HIGH
90,12,32,14,5,48,36,4.7,1,1,HIGH
85,6,18,20,4,32,35,4.6,1,1,HIGH
90,15,32,17,4,66,53,4.9,1,1,HIGH
47,7,12,6,4,30,7,4.3,1,0,MEDIUM
85,11,23,20,7,108,35,4.9,1,1,HIGH
89,10,17,8,6,64,17,4.8,1,1,HIGH
89,15,31,17,9,115,22,4.3,1,1,HIGH
42,3,2,0,0,8,1,1.9,0,0,LOW
66,5,11,6,1,14,12,3.5,0,0,MEDIUM
74,7,9,5,1,24,3,3.3,1,0,MEDIUM
47,5,10,3,2,30,12,3.6,1,0,MEDIUM
92,10,26,20,10,34,48,4.2,1,1,HIGH
71,5,5,5,1,17,8,3.1,1,1,MEDIUM
43,1,2,2,0,6,1,2.1,0,0,LOW
84,15,16,7,6,99,23,4.9,1,1,HIGH
90,9,31,13,10,56,13,4.3,1,1,HIGH
48,7,8,4,2,18,5,3.3,1,0,MEDIUM
6,3,1,2,0,4,1,1.8,0,0,LOW
48,6,7,5,1,28,10,4.1,1,0,MEDIUM
63,6,8,1,2,24,10,3.2,1,0,MEDIUM
78,5,7,3,4,8,7,4.2,1,0,MEDIUM
96,15,10,11,9,52,38,4.7,1,1,HIGH
82,14,34,9,5,108,40,5.0,1,1,HIGH
81,9,25,7,10,77,50,4.7,1,1,HIGH
98,6,37,17,10,24,32,4.4,1,1,HIGH
60,7,7,3,4,20,10,3.8,1,1,MEDIUM
45,4,5,6,1,29,9,4.2,0,1,MEDIUM
81,13,27,8,9,34,45,4.4,1,1,HIGH
3,0,2,0,1,3,2,2.7,0,0,LOW
2,2,2,1,1,6,1,1.8,0,0,LOW
23,3,0,2,0,8,1,2.4,0,0,LOW
7,3,1,1,0,3,3,1.2,0,0,LOW
99,12,40,13,3,112,33,4.4,1,1,HIGH
92,12,27,12,10,52,27,4.5,1,1,HIGH
69,7,8,5,1,17,7,4.1,0,1,MEDIUM
8,3,2,2,1,8,1,1.4,0,0,LOW
64,6,4,5,4,13,5,3.4,0,1,MEDIUM
63,6,10,5,4,11,5,4.0,0,1,MEDIUM
30,3,0,0,0,5,0,3.0,0,0,LOW
89,9,18,15,8,93,15,4.3,1,1,HIGH
95,7,25,16,9,66,30,4.7,1,1,HIGH
28,1,1,0,0,2,0,1.9,0,0,LOW
87,8,25,8,6,83,54,4.4,1,1,HIGH
51,6,7,3,3,30,4,3.3,1,0,MEDIUM
93,15,12,17,9,100,39,4.6,1,1,HIGH
20,0,0,2,1,5,0,2.8,0,0,LOW
55,5,9,5,2,19,3,4.2,0,1,MEDIUM
77,5,2,3,3,11,5,3.4,1,0,MEDIUM
56,6,3,6,3,27,7,3.9,1,1,MEDIUM
42,1,2,2,0,3,3,1.8,0,0,LOW
13,2,2,1,1,3,3,3.2,0,0,LOW
14,3,2,2,1,2,1,1.6,0,0,LOW
65,4,8,3,3,29,12,3.6,0,1,MEDIUM
100,11,11,17,7,48,17,5.0,1,1,HIGH
10,1,3,0,0,6,3,1.9,0,0,LOW
87,13,10,15,6,106,14,4.7,1,1,HIGH
88,6,13,18,8,117,60,4.5,1,1,HIGH
71,4,2,4,4,11,6,4.1,0,1,MEDIUM
55,3,10,6,1,22,10,3.3,1,1,MEDIUM
18,2,3,1,1,0,1,1.8,0,0,LOW
27,1,0,0,0,6,0,2.0,0,0,LOW
86,10,22,16,10,90,38,4.3,1,1,HIGH
48,3,8,2,1,16,11,4.0,1,1,MEDIUM
35,1,0,1,0,2,0,1.0,0,0,LOW
31,3,3,0,0,4,3,1.3,0,0,LOW
81,8,22,5,9,57,60,4.8,1,1,HIGH
45,3,6,2,2,20,7,3.5,0,1,MEDIUM
35,3,0,1,0,4,2,2.6,0,0,LOW
76,4,5,4,4,19,12,3.6,1,1,MEDIUM
17,0,1,2,1,6,1,1.2,0,0,LOW
28,3,0,1,1,5,0,3.2,0,0,LOW
86,12,35,15,10,80,38,4.7,1,1,HIGH
44,1,3,2,0,1,0,1.5,0,0,LOW
79,4,6,4,2,17,12,4.2,1,1,MEDIUM
91,8,21,16,6,109,27,4.8,1,1,HIGH
98,7,24,12,3,117,60,4.9,1,1,HIGH
49,7,4,5,3,18,7,3.8,0,0,MEDIUM
52,6,11,5,1,26,10,3.7,0,1,MEDIUM
24,2,0,2,0,7,3,1.2,0,0,LOW
78,5,3,3,2,26,10,3.4,1,0,MEDIUM
47,6,7,6,2,20,11,3.4,1,0,MEDIUM
72,3,11,3,2,24,8,3.2,0,1,MEDIUM
83,13,15,14,3,29,30,4.8,1,1,HIGH
91,15,34,20,10,30,23,4.4,1,1,HIGH
11,0,3,0,1,4,2,1.3,0,0,LOW
59,5,12,1,1,8,8,3.5,1,0,MEDIUM
1,0,0,1,1,6,0,2.2,0,0,LOW
68,7,9,4,1,29,9,4.0,1,0,MEDIUM
80,8,23,9,4,84,60,5.0,1,1,HIGH
35,0,2,2,1,0,3,3.1,0,0,LOW
97,9,32,20,10,81,60,4.2,1,1,HIGH
93,9,13,8,9,69,37,4.5,1,1,HIGH
98,15,26,15,7,50,52,4.8,1,1,HIGH
93,10,11,5,8,40,50,5.0,1,1,HIGH
96,6,29,15,10,26,17,4.9,1,1,HIGH
52,6,7,6,4,29,2,4.3,1,1,MEDIUM
33,0,3,0,1,4,2,1.7,0,0,LOW
65,5,7,4,2,30,7,3.7,0,1,MEDIUM
11,0,1,1,1,1,2,1.5,0,0,LOW
97,6,40,16,6,107,14,4.8,1,1,HIGH
41,0,1,2,1,0,2,1.5,0,0,LOW
14,1,1,1,1,1,2,3.0,0,0,LOW
87,12,13,12,3,103,15,4.5,1,1,HIGH
43,3,1,2,0,4,2,3.0,0,0,LOW
73,7,5,4,1,29,12,4.0,1,0,MEDIUM
46,4,9,5,4,23,3,3.3,1,1,MEDIUM
20,0,2,1,1,1,2,2.2,0,0,LOW
20,1,0,2,0,5,3,2.1,0,0,LOW
33,1,0,2,0,3,1,2.5,0,0,LOW
38,0,2,2,0,1,0,2.6,0,0,LOW
17,2,0,1,1,4,2,2.9,0,0,LOW
41,0,0,1,1,0,0,2.8,0,0,LOW
94,7,31,12,7,104,47,4.7,1,1,HIGH
97,11,40,5,4,57,21,4.7,1,1,HIGH
23,0,1,0,1,8,3,1.3,0,0,LOW
73,7,8,2,4,17,9,3.1,1,1,MEDIUM
8,0,3,1,1,5,1,1.5,0,0,LOW
14,2,3,1,1,4,2,2.0,0,0,LOW
93,11,29,13,3,35,24,5.0,1,1,HIGH
37,1,0,2,1,1,2,2.5,0,0,LOW
72,6,2,6,2,12,6,4.0,0,0,MEDIUM
23,2,0,1,0,0,3,2.4,0,0,LOW
85,10,29,14,10,39,39,4.8,1,1,HIGH
89,12,32,20,5,48,28,4.4,1,1,HIGH
78,4,10,2,3,23,8,4.2,0,1,MEDIUM
80,8,32,18,8,59,19,4.4,1,1,HIGH
74,7,8,5,4,13,5,3.6,0,1,MEDIUM
47,6,11,6,1,13,2,3.5,0,0,MEDIUM
12,1,2,2,0,5,0,1.0,0,0,LOW
93,13,13,18,8,105,39,4.8,1,1,HIGH
85,12,10,10,8,76,52,4.9,1,1,HIGH
84,10,13,8,5,58,28,4.7,1,1,HIGH
44,2,0,1,1,6,2,3.1,0,0,LOW
82,8,18,15,9,100,43,4.4,1,1,HIGH
84,13,13,5,7,84,40,4.6,1,1,HIGH
55,7,4,2,2,7,11,3.5,1,0,MEDIUM
26,2,1,0,1,3,3,1.7,0,0,LOW
91,14,23,9,9,107,16,4.9,1,1,HIGH
85,10,26,18,6,93,58,4.8,1,1,HIGH
75,7,8,3,2,20,10,3.4,1,1,MEDIUM
65,3,9,4,3,10,10,3.8,0,0,MEDIUM
57,4,11,6,4,19,10,3.4,1,0,MEDIUM
5,3,0,1,1,7,3,3.0,0,0,LOW
52,6,6,2,4,27,10,4.2,1,0,MEDIUM
68,5,8,4,3,27,11,3.1,1,0,MEDIUM
3,1,1,0,1,0,2,3.0,0,0,LOW
33,3,0,2,1,1,3,1.3,0,0,LOW
63,5,11,2,2,10,9,3.2,1,1,MEDIUM
44,0,1,0,1,7,3,1.4,0,0,LOW
100,13,14,13,5,55,57,4.6,1,1,HIGH
91,14,26,13,5,56,40,5.0,1,1,HIGH
26,0,1,2,1,0,2,1.0,0,0,LOW
48,4,10,3,2,29,11,3.4,1,0,MEDIUM
